20.2.1.26. A munkanélküliek száma legmagasabb iskolai végzettségük szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;;
2019.;I.;3,9;21,7;14,3;11,3;13,6;4,7;5,6;75,1
;II.;2,8;23,8;14,7;6,0;11,0;4,2;4,7;67,3
;III.;2,2;22,0;14,8;11,0;13,2;8,4;5,7;77,3
;IV.;2,3;22,1;14,6;11,3;12,6;3,9;4,9;71,6
2020.;I.;2,7;22,7;17,0;13,0;14,1;7,8;3,7;81,0
;II.;1,0;26,0;19,5;21,2;20,3;9,5;4,8;102,2
;III.;1,9;25,2;20,4;18,6;18,0;8,3;5,3;97,6
;IV.;1,5;25,4;18,7;14,5;14,3;11,6;6,8;92,7
2021.;I.;1,9;27,7;22,6;22,1;17,3;9,8;7,3;108,5
;II.;1,7;26,3;19,8;16,4;15,6;7,0;6,9;93,6
;III.;1,9;23,0;18,3;19,8;14,2;6,7;7,3;91,2
;IV.;1,7;25,6;18,9;15,3;12,8;6,8;8,9;89,9
2022.;I. ;1,7;24,3;17,1;11,9;14,1;6,7;6,1;81,9
;II.;1,5;22,5;15,5;8,7;13,0;4,3;4,1;69,6
;III.;2,5;23,9;14,4;11,8;12,3;8,6;7,5;81,0
;IV.;;;;;;;;
